t_unix_s,pressure_kpa
1769114657.462529,100.210
1769114657.491534,100.220
1769114657.520513,100.230
1769114657.548653,100.210
1769114657.577639,100.210
1769114657.605636,100.210
1769114657.634663,100.200
1769114657.658754,100.210
1769114657.687739,100.220
1769114657.716754,100.200
1769114657.744851,100.220
1769114657.773830,100.220
1769114657.802946,100.210
1769114657.831881,100.210
1769114657.859935,100.210
1769114657.888920,100.210
1769114657.916933,100.210
1769114657.946294,100.220
1769114657.974275,100.220
1769114657.999270,100.220
1769114658.028295,100.210
1769114658.056813,100.200
1769114658.085835,100.210
1769114658.113829,100.210
1769114658.142886,100.220
1769114658.170886,100.210
1769114658.199868,100.210
1769114658.228659,100.210
1769114658.257206,100.220
1769114658.285549,100.210
1769114658.314297,100.210
1769114658.338816,100.210
1769114658.367457,100.210
1769114658.396932,100.210
1769114658.424946,100.210
1769114658.453445,100.210
1769114658.482464,100.210
1769114658.511466,100.210
1769114658.539989,100.210
1769114658.569009,100.210
1769114658.597005,100.210
1769114658.626015,100.210
1769114658.654054,100.210
1769114658.679066,100.210
1769114658.708068,100.210
1769114658.737101,100.210
1769114658.765167,100.210
1769114658.794146,100.210
1769114658.823147,100.220
1769114658.851638,100.220
1769114658.879653,100.210
1769114658.908651,100.210
1769114658.937907,100.210
1769114658.965445,100.210
1769114658.994444,100.200
1769114659.019447,100.210
1769114659.047534,100.210
1769114659.076516,100.220
1769114659.105515,100.210
1769114659.134541,100.210
1769114659.162534,100.190
1769114659.191538,100.210
1769114659.219536,100.210
1769114659.248691,100.200
1769114659.277687,100.210
1769114659.305923,100.210
1769114659.334072,100.220
1769114659.359586,100.200
1769114659.387573,100.210
1769114659.416588,100.210
1769114659.445663,100.210
1769114659.473677,100.210
1769114659.502679,100.210
1769114659.531031,100.220
1769114659.559547,100.210
1769114659.588532,100.210
1769114659.617549,100.200
1769114659.645687,100.210
1769114659.674688,100.210
1769114659.699691,100.210
1769114659.727718,100.210
1769114659.756768,100.220
1769114659.785786,100.210
1769114659.813766,100.210
1769114659.842886,100.210
1769114659.870897,100.210
1769114659.899903,100.200
1769114659.928909,100.210
1769114659.956961,100.210
1769114659.985982,100.210
1769114660.014962,100.220
1769114660.038992,100.220
1769114660.068522,100.210
1769114660.096523,100.210
1769114660.125521,100.210
1769114660.154051,100.210
1769114660.183042,100.210
1769114660.211039,100.210
1769114660.240027,100.220
1769114660.269079,100.220
1769114660.297079,100.210
1769114660.326083,100.210
1769114660.354471,100.200
1769114660.379450,100.230
1769114660.407948,100.220
1769114660.436319,100.210
1769114660.465423,100.210
1769114660.493545,100.220
1769114660.522563,100.210
1769114660.551618,100.210
1769114660.579625,100.210
1769114660.608626,100.210
1769114660.637662,100.220
1769114660.666175,100.200
1769114660.694174,100.220
1769114660.719175,100.210
1769114660.747678,100.210
1769114660.776697,100.210
1769114660.805682,100.210
1769114660.833688,100.210
1769114660.863205,100.210
1769114660.891204,100.210
1769114660.920252,100.210
1769114660.948980,100.220
1769114660.976962,100.210
1769114661.005964,100.210
1769114661.034998,100.210
1769114661.059155,100.210
1769114661.088145,100.220
1769114661.116133,100.220
1769114661.145299,100.210
1769114661.174301,100.210
1769114661.203303,100.220
1769114661.231315,100.210
1769114661.259865,100.210
1769114661.288855,100.220
1769114661.316865,100.220
1769114661.346366,100.220
1769114661.374394,100.210
1769114661.399682,100.210
1769114661.427733,100.210
1769114661.456234,100.220
1769114661.485244,100.210
1769114661.514228,100.210
1769114661.542799,100.210
1769114661.570797,100.200
1769114661.599805,100.200
1769114661.628829,100.220
1769114661.657326,100.210
1769114661.686323,100.210
1769114661.714339,100.200
1769114661.739358,100.210
1769114661.768450,100.210
1769114661.796445,100.210
1769114661.825511,100.200
1769114661.854735,100.200
1769114661.882732,100.210
1769114661.911717,100.210
1769114661.939752,100.220
1769114661.968947,100.210
1769114661.996947,100.210
1769114662.025949,100.210
1769114662.051029,100.210
1769114662.079009,100.210
1769114662.108029,100.200
1769114662.137058,100.210
1769114662.165148,100.210
1769114662.194463,100.220
1769114662.222447,100.200
1769114662.251089,100.190
1769114662.280089,100.200
1769114662.309070,100.210
1769114662.337118,100.200
1769114662.366248,100.210
1769114662.390249,100.200
1769114662.419266,100.190
1769114662.448443,100.200
1769114662.476440,100.210
1769114662.505427,100.210
1769114662.534476,100.210
1769114662.562511,100.210
1769114662.591456,100.210
1769114662.620217,100.210
1769114662.648780,100.210
1769114662.677314,100.210
1769114662.705461,100.200
1769114662.730506,100.210
1769114662.759042,100.200
1769114662.788039,100.210
1769114662.817042,100.200
1769114662.845601,100.200
1769114662.873604,100.190
1769114662.902604,100.200
1769114662.930613,100.210
1769114662.960003,100.200
1769114662.988989,100.200
1769114663.017005,100.220
1769114663.046231,100.200
1769114663.070230,100.200
1769114663.099211,100.210
1769114663.128211,100.200
1769114663.156778,100.210
1769114663.185798,100.210
1769114663.213776,100.210
1769114663.241830,100.210
1769114663.271557,100.200
1769114663.299559,100.210
1769114663.328544,100.210
1769114663.356877,100.200
1769114663.385894,100.210
1769114663.410892,100.200
1769114663.438910,100.200
1769114663.468531,100.200
1769114663.496543,100.220
1769114663.525546,100.200
1769114663.554675,100.210
1769114663.582675,100.200
1769114663.611672,100.200
1769114663.639708,100.200
1769114663.668761,100.210
1769114663.697745,100.200
1769114663.725762,100.200
1769114663.750965,100.200
1769114663.778962,100.210
1769114663.807941,100.200
1769114663.836945,100.200
1769114663.865072,100.200
1769114663.894054,100.210
1769114663.923058,100.200
1769114663.951197,100.210
1769114663.980195,100.190
1769114664.008180,100.200
1769114664.037186,100.210
1769114664.062319,100.200
1769114664.090305,100.220
1769114664.119320,100.200
1769114664.148547,100.200
1769114664.176543,100.200
1769114664.205530,100.190
1769114664.233582,100.210
1769114664.262642,100.220
1769114664.291643,100.200
1769114664.319659,100.200
1769114664.348874,100.200
1769114664.376906,100.210
1769114664.402352,100.210
1769114664.430385,100.200
1769114664.458900,100.210
1769114664.487898,100.210
1769114664.517121,100.200
1769114664.544841,100.200
1769114664.573858,100.200
1769114664.602876,100.200
1769114664.630879,100.210
1769114664.660060,100.210
1769114664.689043,100.210
1769114664.717041,100.200
1769114664.741931,100.200
1769114664.770952,100.200
1769114664.798950,100.210
1769114664.828198,100.200
1769114664.856350,100.210
1769114664.885559,100.200
1769114664.914536,100.210
1769114664.942798,100.220
1769114664.971306,100.200
1769114665.000309,100.200
1769114665.028307,100.200
1769114665.057598,100.200
1769114665.081614,100.200
1769114665.110597,100.210
1769114665.139632,100.200
1769114665.167875,100.210
1769114665.196889,100.200
1769114665.224870,100.210
1769114665.254480,100.200
1769114665.282496,100.200
1769114665.311501,100.210
1769114665.340518,100.210
1769114665.369092,100.210
1769114665.397095,100.210
1769114665.422113,100.210
1769114665.451052,100.200
1769114665.479050,100.220
1769114665.508034,100.200
1769114665.537081,100.200
1769114665.565237,100.200
1769114665.594218,100.210
1769114665.622219,100.210
1769114665.651341,100.210
1769114665.680342,100.200
1769114665.708323,100.200
1769114665.737375,100.200
1769114665.761961,100.210
1769114665.790942,100.210
1769114665.819961,100.210
1769114665.848518,100.210
1769114665.876534,100.220
1769114665.905541,100.190
1769114665.933576,100.200
1769114665.962149,100.210
1769114665.991132,100.200
1769114666.020133,100.200
1769114666.048724,100.200
1769114666.076705,100.210
1769114666.101720,100.200
1769114666.130719,100.200
1769114666.158870,100.210
1769114666.187865,100.200
1769114666.216872,100.200
1769114666.245878,100.210
1769114666.274447,100.210
1769114666.302466,100.210
1769114666.331458,100.220
1769114666.360081,100.210
1769114666.389062,100.200
1769114666.413077,100.210
1769114666.442068,100.200
1769114666.470444,100.210
1769114666.499421,100.210
1769114666.528440,100.210
1769114666.556787,100.210
1769114666.585801,100.210
1769114666.613777,100.210
1769114666.642811,100.210
1769114666.670948,100.200
1769114666.699949,100.210
1769114666.728950,100.210
1769114666.753069,100.210
1769114666.782052,100.200
1769114666.811071,100.210
1769114666.839083,100.210
1769114666.868289,100.220
1769114666.896275,100.200
1769114666.925438,100.210
1769114666.954419,100.210
1769114666.982471,100.210
1769114667.010971,100.210
1769114667.039976,100.210
1769114667.068625,100.210
1769114667.092916,100.210
1769114667.122125,100.210
1769114667.150719,100.200
1769114667.179719,100.230
1769114667.207703,100.210
1769114667.236752,100.200
1769114667.265818,100.210
1769114667.293819,100.200
1769114667.322805,100.210
1769114667.351135,100.220
1769114667.380154,100.210
1769114667.408916,100.220
1769114667.432916,100.200
1769114667.462060,100.210
1769114667.491043,100.210
1769114667.519060,100.190
1769114667.548068,100.210
1769114667.576272,100.220
1769114667.605348,100.210
1769114667.634360,100.200
1769114667.662942,100.210
1769114667.690924,100.210
1769114667.719925,100.210
1769114667.748984,100.210
1769114667.773310,100.220
1769114667.802312,100.200
1769114667.830328,100.200
1769114667.859423,100.210
1769114667.888427,100.210
1769114667.916441,100.210
1769114667.945473,100.200
1769114667.973789,100.210
1769114668.002789,100.210
1769114668.031787,100.210
1769114668.060090,100.210
1769114668.089069,100.210
1769114668.113086,100.210
1769114668.142116,100.210
1769114668.170801,100.200
1769114668.199681,100.200
1769114668.227696,100.210
1769114668.257226,100.180
1769114668.285247,100.200
1769114668.314223,100.210
1769114668.342253,100.220
1769114668.371734,100.210
1769114668.399746,100.210
1769114668.428746,100.200
1769114668.453339,100.210
1769114668.482403,100.210
1769114668.510465,100.210
1769114668.539494,100.210
1769114668.567780,100.210
1769114668.596780,100.200
1769114668.625762,100.210
1769114668.654309,100.220
1769114668.682308,100.210
1769114668.711327,100.210
1769114668.740347,100.200
1769114668.768928,100.200
1769114668.792921,100.210
1769114668.822907,100.210
1769114668.850959,100.200
1769114668.879534,100.210
1769114668.907520,100.210
1769114668.936827,100.210
1769114668.965962,100.220
1769114668.993962,100.210
1769114669.022944,100.200
1769114669.050947,100.200
1769114669.079828,100.200
1769114669.108639,100.200
1769114669.133725,100.220
1769114669.162330,100.210
1769114669.190851,100.200
1769114669.219620,100.200
1769114669.248642,100.200
1769114669.277222,100.210
1769114669.305224,100.210
1769114669.334222,100.210
1769114669.362814,100.200
1769114669.391796,100.210
1769114669.419816,100.210
1769114669.448809,100.220
1769114669.473004,100.210
1769114669.502009,100.210
1769114669.530473,100.200
1769114669.559079,100.210
1769114669.587528,100.210
1769114669.616630,100.200
1769114669.645646,100.210
1769114669.674200,100.210
1769114669.703199,100.210
1769114669.731216,100.210
1769114669.759629,100.210
1769114669.788723,100.200
1769114669.813714,100.210
1769114669.841738,100.200
1769114669.871301,100.210
1769114669.899825,100.210
1769114669.928344,100.210
1769114669.956465,100.200
1769114669.985484,100.210
1769114670.014465,100.210
1769114670.042502,100.210
1769114670.071012,100.210
1769114670.100010,100.190
